Evento,Fecha,Hora UTC,Hora Local(*),Latitud,Longitud,Profundidad(km),Magnitud,Tipo Mag.,Int. max.,Localizacion
es2021vcyxq,28/10/2021,09:33:48,10:33:48,28.5622,-17.8418,11,3.2,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vczci,28/10/2021,09:39:18,11:39:18,35.4703,-3.6073,21,2.5,mbLg,,ALBORÁN SUR
es2021vczga,28/10/2021,09:43:34,10:43:34,28.5617,-17.8268,13,2.8,mbLg,,SW VILLA DE MAZO.ILP
es2021vczit,28/10/2021,09:46:44,10:46:44,28.5585,-17.8380,13,3.5,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vczrf,28/10/2021,09:56:38,10:56:38,28.5611,-17.8359,14,3.6,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vczwu,28/10/2021,10:03:07,11:03:07,28.5577,-17.8444,13,2.8,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vczzv,28/10/2021,10:06:41,11:06:41,28.5672,-17.8152,13,2.9,mbLg,,SW VILLA DE MAZO.ILP
es2021vdabd,28/10/2021,10:09:14,11:09:14,28.5670,-17.8209,13,3.0,mbLg,,SW VILLA DE MAZO.ILP
es2021vdadk,28/10/2021,10:11:12,11:11:12,28.5601,-17.8424,11,2.9,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vdalo,28/10/2021,10:20:48,11:20:48,28.5717,-17.8296,11,3.0,mbLg,,SW VILLA DE MAZO.ILP
es2021vdasp,28/10/2021,10:28:32,11:28:32,28.5648,-17.8339,14,3.3,mbLg,,SW VILLA DE MAZO.ILP
es2021vcuaa,28/10/2021,07:05:01,08:05:01,28.5601,-17.8426,13,2.8,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vcubx,28/10/2021,07:07:35,08:07:35,28.5473,-17.8430,15,3.5,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcufo,28/10/2021,07:11:31,08:11:31,28.5626,-17.8419,11,2.9,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vcujc,28/10/2021,07:15:35,08:15:35,28.5614,-17.8429,11,2.9,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vcumw,28/10/2021,07:20:00,08:20:00,28.5695,-17.8223,10,2.9,mbLg,,SW VILLA DE MAZO.ILP
es2021vcuou,28/10/2021,07:22:33,08:22:33,28.5593,-17.8357,10,3.6,mbLg,III-IV,NE FUENCALIENTE DE LA PALMA.IL
es2021vcutr,28/10/2021,07:28:21,08:28:21,28.5603,-17.8401,11,2.9,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vddax,28/10/2021,11:38:51,12:38:51,28.5610,-17.8305,12,3.2,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vddhl,28/10/2021,11:46:27,12:46:27,28.5786,-17.8383,10,2.9,mbLg,,SW VILLA DE MAZO.ILP
es2021vddsf,28/10/2021,11:59:15,12:59:15,28.5738,-17.8217,13,3.0,mbLg,,SW VILLA DE MAZO.ILP
es2021vdemf,28/10/2021,12:22:19,13:22:19,28.5667,-17.8401,12,3.5,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL
es2021vdfac,28/10/2021,12:38:31,13:38:31,28.5714,-17.8305,11,3.4,mbLg,,SW VILLA DE MAZO.ILP
es2021vdfci,28/10/2021,12:41:35,13:41:35,28.5711,-17.8302,12,2.7,mbLg,,SW VILLA DE MAZO.ILP
es2021vdfnd,28/10/2021,12:53:40,13:53:40,28.5676,-17.8374,12,2.6,mbLg,,SW VILLA DE MAZO.ILP
es2021vdfqi,28/10/2021,12:57:25,13:57:25,28.5688,-17.8406,13,3.3,mbLg,,SW VILLA DE MAZO.ILP
es2021vdfwu,28/10/2021,13:04:59,14:04:59,28.5622,-17.8282,14,2.7,mbLg,,SW VILLA DE MAZO.ILP
es2021vdfxs,28/10/2021,13:06:02,14:06:02,28.5549,-17.8417,14,2.9,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdfzy,28/10/2021,13:08:38,14:08:38,28.5749,-17.8305,10,2.6,mbLg,,SW VILLA DE MAZO.ILP
es2021vdgla,28/10/2021,13:21:34,14:21:34,28.5496,-17.8463,14,3.1,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vdgqj,28/10/2021,13:27:48,14:27:48,28.5658,-17.8441,12,3.6,mbLg,IV,N FUENCALIENTE DE LA PALMA.ILP
es2021vdgsa,28/10/2021,13:29:47,14:29:47,28.5555,-17.8361,13,2.8,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdgtj,28/10/2021,13:31:16,14:31:16,28.5504,-17.8241,14,2.6,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdhfl,28/10/2021,13:45:23,14:45:23,28.5625,-17.8489,12,2.7,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vdhgi,28/10/2021,13:46:38,14:46:38,28.5613,-17.8210,13,2.7,mbLg,,SW VILLA DE MAZO.ILP
es2021vdhhj,28/10/2021,13:47:33,14:47:33,28.5611,-17.8411,13,2.9,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdhiw,28/10/2021,13:49:22,14:49:22,28.5649,-17.8288,11,2.9,mbLg,,SW VILLA DE MAZO.ILP
es2021vdhvd,28/10/2021,14:03:40,15:03:40,28.5545,-17.8409,14,3.3,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdiei,28/10/2021,14:14:23,15:14:23,28.5660,-17.8431,11,2.8,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vdiwt,28/10/2021,14:35:51,15:35:51,28.5502,-17.8401,14,3.3,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdiyz,28/10/2021,14:38:40,15:38:40,28.5593,-17.8421,13,3.1,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdjam,28/10/2021,14:40:09,15:40:09,28.5740,-17.8258,11,2.9,mbLg,,SW VILLA DE MAZO.ILP
es2021vdjcr,28/10/2021,14:43:06,15:43:06,28.5635,-17.8268,13,3.5,mbLg,,SW VILLA DE MAZO.ILP
es2021vdjem,28/10/2021,14:44:52,15:44:52,28.5593,-17.8309,11,2.5,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdjhe,28/10/2021,14:47:59,15:47:59,28.5612,-17.8214,11,3.0,mbLg,,SW VILLA DE MAZO.ILP
es2021vdjnh,28/10/2021,14:55:07,15:55:07,28.5732,-17.8231,11,2.6,mbLg,,SW VILLA DE MAZO.ILP
es2021vdkak,28/10/2021,15:10:24,17:10:24,35.4622,-3.5882,15,2.5,mbLg,,ALBORÁN SUR
es2021vdkhm,28/10/2021,15:18:39,16:18:39,28.5660,-17.8380,11,2.8,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdkjh,28/10/2021,15:20:47,16:20:47,28.5526,-17.8386,13,2.6,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdlcy,28/10/2021,15:43:38,16:43:38,28.5711,-17.8405,12,2.7,mbLg,,SW VILLA DE MAZO.ILP
es2021vdlqu,28/10/2021,16:00:08,17:00:08,28.5665,-17.8340,11,3.0,mbLg,,SW VILLA DE MAZO.ILP
es2021vdmlz,28/10/2021,16:24:39,17:24:39,28.5633,-17.8355,14,3.4,mbLg,IV,NE FUENCALIENTE DE LA PALMA.IL
es2021vdmso,28/10/2021,16:32:12,17:32:12,28.5547,-17.8326,14,2.8,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdnah,28/10/2021,16:41:10,17:41:10,28.5655,-17.8189,13,2.8,mbLg,,SW VILLA DE MAZO.ILP
es2021vdnda,28/10/2021,16:44:25,17:44:25,28.5645,-17.8506,11,2.7,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vdnel,28/10/2021,16:46:02,17:46:02,28.5567,-17.8386,13,3.5,mbLg,IV,NE FUENCALIENTE DE LA PALMA.IL
es2021vdnnz,28/10/2021,16:57:14,17:57:14,28.5545,-17.8382,13,2.9,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdnup,28/10/2021,17:05:01,18:05:01,28.5682,-17.8304,10,3.1,mbLg,,SW VILLA DE MAZO.ILP
es2021vdong,28/10/2021,17:26:37,18:26:37,28.5540,-17.8398,13,3.3,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdozt,28/10/2021,17:41:11,18:41:11,28.5512,-17.8406,14,3.2,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdpbh,28/10/2021,17:42:58,18:42:58,28.5681,-17.8546,12,3.4,mbLg,III,N FUENCALIENTE DE LA PALMA.ILP
es2021vdawc,28/10/2021,10:32:53,11:32:53,28.5636,-17.8288,14,3.0,mbLg,,SW VILLA DE MAZO.ILP
es2021vdazd,28/10/2021,10:36:09,11:36:09,28.5718,-17.8468,14,2.9,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vdcdr,28/10/2021,11:11:59,12:11:59,28.5619,-17.8210,13,3.2,mbLg,,SW VILLA DE MAZO.ILP
es2021vdckt,28/10/2021,11:20:24,12:20:24,28.5614,-17.8332,13,3.3,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdctk,28/10/2021,11:30:05,13:30:05,35.4385,-3.6132,24,2.4,mbLg,,ALBORÁN SUR
es2021vdcvr,28/10/2021,11:32:46,12:32:46,28.5594,-17.8452,11,2.7,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vdczw,28/10/2021,11:37:39,12:37:39,28.5603,-17.8401,11,2.9,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vddax,28/10/2021,11:38:51,12:38:51,28.5610,-17.8305,12,3.2,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vddhl,28/10/2021,11:46:27,12:46:27,28.5786,-17.8383,10,2.9,mbLg,,SW VILLA DE MAZO.ILP
es2021vddsf,28/10/2021,11:59:15,12:59:15,28.5581,-17.8333,12,3.4,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL
es2021vduip,28/10/2021,20:23:03,21:23:03,28.5762,-17.8276,12,2.6,mbLg,,SW VILLA DE MAZO.ILP
es2021vdupo,28/10/2021,20:31:28,21:31:28,28.5562,-17.8344,14,3.0,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vduuh,28/10/2021,20:37:34,21:37:34,28.5740,-17.7922,29,3.0,mbLg,,SW VILLA DE MAZO.ILP
es2021vduxr,28/10/2021,20:40:38,21:40:38,28.5417,-17.7973,23,2.7,mbLg,,SW VILLA DE MAZO.ILP
es2021vdvbc,28/10/2021,20:44:36,21:44:36,28.5624,-17.8306,10,2.8,mbLg,,SW VILLA DE MAZO.ILP
es2021vdvdh,28/10/2021,20:47:08,21:47:08,28.5609,-17.8257,11,2.8,mbLg,,SW VILLA DE MAZO.ILP
es2021vdvju,28/10/2021,20:54:45,22:54:45,35.5652,-3.6755,,2.4,mbLg,,ALBORÁN SUR
es2021vdvlf,28/10/2021,20:56:22,21:56:22,28.5578,-17.8294,11,3.0,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdvrb,28/10/2021,21:03:12,22:03:12,28.5787,-17.8211,12,2.6,mbLg,,SW VILLA DE MAZO.ILP
es2021vdwaw,28/10/2021,21:14:38,22:14:38,28.5556,-17.8372,14,2.9,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdwcv,28/10/2021,21:16:56,22:16:56,28.5609,-17.8268,13,3.0,mbLg,,SW VILLA DE MAZO.ILP
es2021vdwkh,28/10/2021,21:25:51,22:25:51,28.5583,-17.8350,14,2.8,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdwoz,28/10/2021,21:31:04,22:31:04,28.5630,-17.8170,11,2.7,mbLg,,SW VILLA DE MAZO.ILP
es2021vdwsa,28/10/2021,21:34:41,22:34:41,28.5547,-17.8353,10,2.7,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdxct,28/10/2021,21:47:09,22:47:09,28.5580,-17.8246,10,2.6,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdxiu,28/10/2021,21:54:10,22:54:10,28.5477,-17.8360,14,2.5,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdxks,28/10/2021,21:56:24,23:56:24,35.6090,-3.6374,,2.3,mbLg,,ALBORÁN SUR
es2021vdxpd,28/10/2021,22:01:33,23:01:33,28.5382,-17.8218,15,2.9,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL
es2021vdxrc,28/10/2021,22:04:11,23:04:11,28.5513,-17.8059,14,2.5,mbLg,,SW VILLA DE MAZO.ILP
es2021vdxso,28/10/2021,22:05:32,00:05:32,35.4712,-3.7159,,2.5,mbLg,,ALBORÁN SUR
es2021vdxxw,28/10/2021,22:11:45,23:11:45,28.5566,-17.8299,13,2.8,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdyaj,28/10/2021,22:14:42,23:14:42,28.5423,-17.8088,13,2.6,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdyfx,28/10/2021,22:21:06,23:21:06,28.5523,-17.8224,14,3.2,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL
es2021vdypi,28/10/2021,22:32:21,23:32:21,28.5622,-17.8364,13,2.6,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdyqn,28/10/2021,22:33:27,23:33:27,28.5538,-17.8292,13,2.6,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdyti,28/10/2021,22:37:04,23:37:04,28.5668,-17.8285,13,2.8,mbLg,,SW VILLA DE MAZO.ILP
es2021vdytp,28/10/2021,22:37:05,00:37:05,36.1117,-2.5295,22,2.0,mbLg,,ALBORÁN NORTE
es2021vdyvw,28/10/2021,22:39:43,23:39:43,28.5681,-17.8364,10,2.6,mbLg,,SW VILLA DE MAZO.ILP
es2021vdzrl,28/10/2021,23:04:52,00:04:52,28.5555,-17.8311,14,3.3,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vdzzs,28/10/2021,23:14:40,00:14:40,28.5617,-17.8366,10,2.9,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vealu,28/10/2021,23:28:36,00:28:36,28.5637,-17.8510,11,2.9,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021veapk,28/10/2021,23:32:47,00:32:47,28.5682,-17.8183,11,3.3,mbLg,III-IV,SW VILLA DE MAZO.ILP
es2021veaug,28/10/2021,23:38:29,00:38:29,28.5698,-17.8342,11,2.9,mbLg,,SW VILLA DE MAZO.ILP
es2021veayc,28/10/2021,23:42:58,00:42:58,28.5653,-17.8092,11,3.9,mbLg,IV,SW VILLA DE MAZO.ILP
